Date,Game,Boxscore Link
"Friday, April 7, 2023",Chicago White Sox (13) @ Pittsburgh Pirates (3),https://www.baseball-reference.com/teams/CHW/2023.shtml
"Friday, April 7, 2023",Kansas City Royals (9) @ San Francisco Giants (9),https://www.baseball-reference.com/teams/KCR/2023.shtml
"Friday, April 7, 2023",Oakland Athletics (9) @ Tampa Bay Rays (9),https://www.baseball-reference.com/teams/OAK/2023.shtml
"Saturday, April 8, 2023",Toronto Blue Jays (9) @ Los Angeles Angels (12),https://www.baseball-reference.com/teams/TOR/2023.shtml
"Saturday, April 8, 2023",Los Angeles Dodgers (12) @ Arizona D'Backs (4),https://www.baseball-reference.com/teams/LAD/2023.shtml
"Saturday, April 8, 2023",San Diego Padres (4) @ Atlanta Braves (4),https://www.baseball-reference.com/teams/SDP/2023.shtml
"Saturday, April 8, 2023",New York Yankees (10) @ Baltimore Orioles (10),https://www.baseball-reference.com/teams/NYY/2023.shtml
"Saturday, April 8, 2023",Texas Rangers (10) @ Chicago Cubs (3),https://www.baseball-reference.com/teams/TEX/2023.shtml
"Saturday, April 8, 2023",Seattle Mariners (7) @ Cleveland Guardians (7),https://www.baseball-reference.com/teams/SEA/2023.shtml
"Saturday, April 8, 2023",Washington Nationals (14) @ Colorado Rockies (14),https://www.baseball-reference.com/teams/WSN/2023.shtml
"Saturday, April 8, 2023",Boston Red Sox (6) @ Detroit Tigers (6),https://www.baseball-reference.com/teams/BOS/2023.shtml
"Saturday, April 8, 2023",St. Louis Cardinals (9) @ Milwaukee Brewers (9),https://www.baseball-reference.com/teams/STL/2023.shtml
"Saturday, April 8, 2023",Houston Astros (9) @ Minnesota Twins (5),https://www.baseball-reference.com/teams/HOU/2023.shtml
"Saturday, April 8, 2023",Miami Marlins (5) @ New York Mets (3),https://www.baseball-reference.com/teams/MIA/2023.shtml
"Saturday, April 8, 2023",Cincinnati Reds (3) @ Philadelphia Phillies (11),https://www.baseball-reference.com/teams/CIN/2023.shtml
"Saturday, April 8, 2023",Chicago White Sox (6) @ Pittsburgh Pirates (6),https://www.baseball-reference.com/teams/CHW/2023.shtml
"Saturday, April 8, 2023",Kansas City Royals (11) @ San Francisco Giants (11),https://www.baseball-reference.com/teams/KCR/2023.shtml
"Saturday, April 8, 2023",Oakland Athletics (11) @ Tampa Bay Rays (12),https://www.baseball-reference.com/teams/OAK/2023.shtml
"Sunday, April 9, 2023",Toronto Blue Jays (11) @ Los Angeles Angels (11),https://www.baseball-reference.com/teams/TOR/2023.shtml
"Sunday, April 9, 2023",Los Angeles Dodgers (11) @ Arizona D'Backs (10),https://www.baseball-reference.com/teams/LAD/2023.shtml
"Sunday, April 9, 2023",San Diego Padres (5) @ Atlanta Braves (5),https://www.baseball-reference.com/teams/SDP/2023.shtml
"Sunday, April 9, 2023",New York Yankees (8) @ Baltimore Orioles (8),https://www.baseball-reference.com/teams/NYY/2023.shtml
"Sunday, April 9, 2023",Texas Rangers (7) @ Chicago Cubs (7),https://www.baseball-reference.com/teams/TEX/2023.shtml
"Sunday, April 9, 2023",Seattle Mariners (7) @ Cleveland Guardians (7),https://www.baseball-reference.com/teams/SEA/2023.shtml
"Sunday, April 9, 2023",Washington Nationals (7) @ Colorado Rockies (4),https://www.baseball-reference.com/teams/WSN/2023.shtml
"Sunday, April 9, 2023",Boston Red Sox (6) @ Detroit Tigers (6),https://www.baseball-reference.com/teams/BOS/2023.shtml
"Sunday, April 9, 2023",St. Louis Cardinals (6) @ Milwaukee Brewers (5),https://www.baseball-reference.com/teams/STL/2023.shtml
"Sunday, April 9, 2023",Houston Astros (7) @ Minnesota Twins (7),https://www.baseball-reference.com/teams/HOU/2023.shtml
"Sunday, April 9, 2023",Miami Marlins (6) @ New York Mets (6),https://www.baseball-reference.com/teams/MIA/2023.shtml
"Sunday, April 9, 2023",Cincinnati Reds (1) @ Philadelphia Phillies (1),https://www.baseball-reference.com/teams/CIN/2023.shtml
"Sunday, April 9, 2023",Chicago White Sox (1) @ Pittsburgh Pirates (3),https://www.baseball-reference.com/teams/CHW/2023.shtml
"Sunday, April 9, 2023",Kansas City Royals (3) @ San Francisco Giants (11),https://www.baseball-reference.com/teams/KCR/2023.shtml
"Sunday, April 9, 2023",Oakland Athletics (11) @ Tampa Bay Rays (6),https://www.baseball-reference.com/teams/OAK/2023.shtml
"Monday, April 10, 2023",Washington Nationals (3) @ Los Angeles Angels (3),https://www.baseball-reference.com/teams/WSN/2023.shtml
"Monday, April 10, 2023",Milwaukee Brewers (3) @ Arizona D'Backs (5),https://www.baseball-reference.com/teams/MIL/2023.shtml
"Monday, April 10, 2023",Cincinnati Reds (5) @ Atlanta Braves (5),https://www.baseball-reference.com/teams/CIN/2023.shtml
"Monday, April 10, 2023",Oakland Athletics (5) @ Baltimore Orioles (3),https://www.baseball-reference.com/teams/OAK/2023.shtml
"Monday, April 10, 2023",Seattle Mariners (3) @ Chicago Cubs (3),https://www.baseball-reference.com/teams/SEA/2023.shtml
"Monday, April 10, 2023",New York Yankees (3) @ Cleveland Guardians (7),https://www.baseball-reference.com/teams/NYY/2023.shtml
"Monday, April 10, 2023",St. Louis Cardinals (7) @ Colorado Rockies (4),https://www.baseball-reference.com/teams/STL/2023.shtml
"Monday, April 10, 2023",Chicago White Sox (5) @ Minnesota Twins (5),https://www.baseball-reference.com/teams/CHW/2023.shtml
"Monday, April 10, 2023",San Diego Padres (5) @ New York Mets (15),https://www.baseball-reference.com/teams/SDP/2023.shtml
"Monday, April 10, 2023",Miami Marlins (15) @ Philadelphia Phillies (8),https://www.baseball-reference.com/teams/MIA/2023.shtml
"Monday, April 10, 2023",Houston Astros (9) @ Pittsburgh Pirates (9),https://www.baseball-reference.com/teams/HOU/2023.shtml
"Monday, April 10, 2023",Los Angeles Dodgers (1) @ San Francisco Giants (1),https://www.baseball-reference.com/teams/LAD/2023.shtml
"Monday, April 10, 2023",Boston Red Sox (1) @ Tampa Bay Rays (11),https://www.baseball-reference.com/teams/BOS/2023.shtml
"Monday, April 10, 2023",Kansas City Royals (11) @ Texas Rangers (2),https://www.baseball-reference.com/teams/KCR/2023.shtml
"Tuesday, April 11, 2023",Washington Nationals (2) @ Los Angeles Angels (7),https://www.baseball-reference.com/teams/WSN/2023.shtml
"Tuesday, April 11, 2023",Milwaukee Brewers (7) @ Arizona D'Backs (7),https://www.baseball-reference.com/teams/MIL/2023.shtml
"Tuesday, April 11, 2023",Cincinnati Reds (7) @ Atlanta Braves (12),https://www.baseball-reference.com/teams/CIN/2023.shtml
"Tuesday, April 11, 2023",Oakland Athletics (12) @ Baltimore Orioles (14),https://www.baseball-reference.com/teams/OAK/2023.shtml
"Tuesday, April 11, 2023",Seattle Mariners (14) @ Chicago Cubs (11),https://www.baseball-reference.com/teams/SEA/2023.shtml
"Tuesday, April 11, 2023",New York Yankees (9) @ Cleveland Guardians (9),https://www.baseball-reference.com/teams/NYY/2023.shtml
"Tuesday, April 11, 2023",St. Louis Cardinals (4) @ Colorado Rockies (4),https://www.baseball-reference.com/teams/STL/2023.shtml
"Tuesday, April 11, 2023",Chicago White Sox (4) @ Minnesota Twins (4),https://www.baseball-reference.com/teams/CHW/2023.shtml
"Tuesday, April 11, 2023",San Diego Padres (8) @ New York Mets (8),https://www.baseball-reference.com/teams/SDP/2023.shtml
"Tuesday, April 11, 2023",Miami Marlins (7) @ Philadelphia Phillies (7),https://www.baseball-reference.com/teams/MIA/2023.shtml
"Tuesday, April 11, 2023",Houston Astros (7) @ Pittsburgh Pirates (5),https://www.baseball-reference.com/teams/HOU/2023.shtml
"Tuesday, April 11, 2023",Los Angeles Dodgers (5) @ San Francisco Giants (7),https://www.baseball-reference.com/teams/LAD/2023.shtml
"Tuesday, April 11, 2023",Boston Red Sox (7) @ Tampa Bay Rays (8),https://www.baseball-reference.com/teams/BOS/2023.shtml
"Tuesday, April 11, 2023",Kansas City Royals (8) @ Texas Rangers (9),https://www.baseball-reference.com/teams/KCR/2023.shtml
"Tuesday, April 11, 2023",Detroit Tigers (9) @ Toronto Blue Jays (3),https://www.baseball-reference.com/teams/DET/2023.shtml
"Wednesday, April 12, 2023",Washington Nationals (3) @ Los Angeles Angels (7),https://www.baseball-reference.com/teams/WSN/2023.shtml
"Wednesday, April 12, 2023",Milwaukee Brewers (7) @ Arizona D'Backs (5),https://www.baseball-reference.com/teams/MIL/2023.shtml
"Wednesday, April 12, 2023",Cincinnati Reds (5) @ Atlanta Braves (8),https://www.baseball-reference.com/teams/CIN/2023.shtml
"Wednesday, April 12, 2023",Oakland Athletics (5) @ Baltimore Orioles (5),https://www.baseball-reference.com/teams/OAK/2023.shtml
"Wednesday, April 12, 2023",Seattle Mariners (4) @ Chicago Cubs (4),https://www.baseball-reference.com/teams/SEA/2023.shtml
"Wednesday, April 12, 2023",New York Yankees (7) @ Cleveland Guardians (7),https://www.baseball-reference.com/teams/NYY/2023.shtml
